fragrance_id,name,brand,year_released,description,gender_focus,image_url
1,Ombré Leather,Tom Ford,,,U,
2,L'Homme,Yves Saint Laurent,,,M,
3,Dylan Blue,Versace,,,M,
4,The One,Dolce & Gabbana,,,M,
5,Chanel No.5,Chanel,,,F,
6,J'adore,Dior,,,F,
7,Black Opium,Yves Saint Laurent,,,F,
8,Bloom,Gucci,,,F,
9,La Vie Est Belle,Lancome,,,F,
10,Daisy,Marc Jacobs,,,F,
11,Flowerbomb,Viktor & Rolf,,,F,
12,Good Girl,Carolina Herrera,,,F,
13,Sauvage ,Dior,,,M,
14,Aventus,Creed,,,M,
15,Bleu de Chanel,Chanel,,,M,
16,Oud Wood,Tom Ford,,,M,
17,Y,Yves Saint Laurent,,,M,
18,Acqua di Gio,Giorgio Armani,,,M,
19,Le Male,Jean Paul Gautier,,,M,
20,Eros,Versace,,,M,
21,Legend,Montblanc,,,M,
22,Baccarat Rouge 540,Maison Francis Kurkdjian,,,U,
23,Gypsy Water,Byredo,,,U,
24,Santal 33,Le Labo,,,U,
25,Replica Jazz Club,Maison Margiela,,,U,
26,Neroli Portofino,Tom Ford,,,U,
27,Lime Basil & Mandarin,Jo Malone,,,U,
28,Oud for Greatness,Initio,,,U,
29,Reflection Man,Amouage,,,U,
30,Chance Eau Tendre,Chanel,,,F,
31,Flora Gorgeous Gardenia,Gucci,,,F,
32,Light Blue,Dolce & Gabbana,,,F,
33,Eau de Parfum,Chloé,,,F,
34,Le Parfum,Elie Saab,,,F,
35,Kenzo Flower,Kenzo,,,F,
36,Springtime in a Park,Maison Margiela,,,F,
37,Idole,Lancome,,,F,
38,CK One,Calvin Klein,,,U,
39,Cool Water,Davidoff,,,M,
40,Ead d'Orange Verte,Hermès,,,U,
41,L'Eau d'Issey,Issey Miyake,,,F,
42,L'Homme,Prada,,,M,
43,L'Homme Cologne Bleue,Yves Saint Laurent,,,M,
44,Aqva,Bvlgari,,,M,
45,Oud Satin Mood,Maison Francis Kurkdjian,,,U,
46,212 Sexy Men,Carolina Herrera,,,M,
47,Mon Guerlain,Guerlain,,,F,
48,Profumo,Armani Code,,,M,
49,Libre,Yves Saint Laurent,,,F,
50,Millésime Impérial,Creed,,,U,
51,Interlude Man,Amouage,,,M,
52,Portrait of a Lady,Frederic Malle,,,F,
53,Tyrannosaurus Rex,Zoologist,,,M,
54,Side Effect,Initio,,,U,
55,"Love, Don't Be Shy",Kilian,,,F,
56,Shalimar,Guerlain,,,F,
57,Polo,Ralph Lauren,,,M,
58,La Nuit de L'Homme,Yves Saint Laurent,,,M,
